?јдр;«нчн;IP;CR;AR;DR;SP;BR;AC;PS;NZVC;јдр;«нчн_1
5D7;0200;5D7;0000;000;0000;000;0000;0000;4;100;;
5D7;0200;5D8;0200;5D7;0200;000;05D7;0000;4;100;;
5D8;EE19;5D9;EE19;5F2;0000;000;0019;0000;4;100;5F2;0000
5D9;AE16;5DA;AE16;5F0;FF56;000;0016;FF56;8;1000;;
5DA;0C00;5DB;0C00;7FF;FF56;7FF;05DA;FF56;8;1000;7FF;FF56
5DB;D73C;73C;D73C;7FE;05DC;7FE;D73C;FF56;8;1000;7FE;05DC
73C;AC01;73D;AC01;7FF;FF56;7FE;0001;FF56;8;1000;;
73D;F309;73E;F309;73D;F309;7FE;073D;FF56;8;1000;;
73E;6E0B;73F;6E0B;74A;FF4D;7FE;000B;0009;1;1;;
73F;F207;740;F207;73F;F207;7FE;073F;0009;1;1;;
740;F006;741;F006;740;F006;7FE;0740;0009;1;1;;
741;4E08;742;4E08;74A;FF4D;7FE;0008;FF56;8;1000;;
742;4C01;743;4C01;7FF;FF56;7FE;0001;FEAC;9;1001;;
743;4C01;744;4C01;7FF;FF56;7FE;0001;FE02;9;1001;;
744;4C01;745;4C01;7FF;FF56;7FE;0001;FD58;9;1001;;
745;4E05;746;4E05;74B;00E5;7FE;0005;FE3D;8;1000;;
746;CE01;748;CE01;746;0748;7FE;0001;FE3D;8;1000;;
748;EC01;749;EC01;7FF;FE3D;7FE;0001;FE3D;8;1000;7FF;FE3D
749;0A00;5DC;0A00;7FE;05DC;7FF;0749;FE3D;8;1000;;
5DC;0800;5DD;0800;7FF;FE3D;000;05DC;FE3D;8;1000;;
5DD;0740;5DE;0740;5DD;0740;000;05DD;FE3C;9;1001;;
5DE;6E13;5DF;6E13;5F2;0000;000;0013;FE3C;9;1001;;
5DF;EE12;5E0;EE12;5F2;FE3C;000;0012;FE3C;9;1001;5F2;FE3C
5E0;AE0E;5E1;AE0E;5EF;8000;000;000E;8000;9;1001;;
5E1;0700;5E2;0700;5E1;0700;000;05E1;8001;8;1000;;
5E2;0C00;5E3;0C00;7FF;8001;7FF;05E2;8001;8;1000;7FF;8001
5E3;D73C;73C;D73C;7FE;05E4;7FE;D73C;8001;8;1000;7FE;05E4
73C;AC01;73D;AC01;7FF;8001;7FE;0001;8001;8;1000;;
73D;F309;73E;F309;73D;F309;7FE;073D;8001;8;1000;;
73E;6E0B;73F;6E0B;74A;FF4D;7FE;000B;80B4;8;1000;;
73F;F207;747;F207;73F;F207;7FE;0007;80B4;8;1000;;
747;AE02;748;AE02;74A;FF4D;7FE;0002;FF4D;8;1000;;
748;EC01;749;EC01;7FF;FF4D;7FE;0001;FF4D;8;1000;7FF;FF4D
749;0A00;5E4;0A00;7FE;05E4;7FF;0749;FF4D;8;1000;;
5E4;0800;5E5;0800;7FF;FF4D;000;05E4;FF4D;8;1000;;
5E5;0740;5E6;0740;5E5;0740;000;05E5;FF4C;9;1001;;
5E6;4E0B;5E7;4E0B;5F2;FE3C;000;000B;FD88;9;1001;;
5E7;EE0A;5E8;EE0A;5F2;FD88;000;000A;FD88;9;1001;5F2;FD88
5E8;AE08;5E9;AE08;5F1;3333;000;0008;3333;1;1;;
5E9;0C00;5EA;0C00;7FF;3333;7FF;05E9;3333;1;1;7FF;3333
5EA;D73C;73C;D73C;7FE;05EB;7FE;D73C;3333;1;1;7FE;05EB
73C;AC01;73D;AC01;7FF;3333;7FE;0001;3333;1;1;;
73D;F309;747;F309;73D;F309;7FE;0009;3333;1;1;;
747;AE02;748;AE02;74A;FF4D;7FE;0002;FF4D;9;1001;;
748;EC01;749;EC01;7FF;FF4D;7FE;0001;FF4D;9;1001;7FF;FF4D
749;0A00;5EB;0A00;7FE;05EB;7FF;0749;FF4D;9;1001;;
5EB;0800;5EC;0800;7FF;FF4D;000;05EB;FF4D;9;1001;;
5EC;6E05;5ED;6E05;5F2;FD88;000;0005;01C5;1;1;;
5ED;EE04;5EE;EE04;5F2;01C5;000;0004;01C5;1;1;5F2;01C5
5EE;0100;5EF;0100;5EE;0100;000;05EE;01C5;1;1;;
